checkpoint,motion_key,terminated,progress,mpjpe_g,mpjpe_l,mpjpe_g_foot,mpjpe_g_vr_3points,anchor_xy_error_mean,anchor_xy_error_max,anchor_heading_error_mean,anchor_heading_error_max
pr12000,jog_ff_start_180_R_003__A234_M,True,0.095238097012043,0.057059842806596026,0.04693120718002319,0.09348225593566895,0.03314021917489859,0.02112952619791031,0.050938431173563004,0.03372371941804886,0.09394454956054688
pr12000,walk_ff_loop_315_R_001__A237_M,True,0.027950311079621315,0.04416579008102417,0.038937697043785684,0.0955065580514761,0.03165783026279547,0.02323569916188717,0.04697359353303909,0.20258817076683044,0.39444154500961304
pr12000,checking_time_R_001__A235,True,0.31481480598449707,0.09176413829510029,0.07477101912865272,0.09375275098360501,0.07890578416677621,0.026875870302319527,0.09893451631069183,0.05227096006274223,0.1203927993774414
pr12000,itching_left_body_side_R_001__A238_M,True,0.18090452253818512,0.09171300667982835,0.06296325188416702,0.10598249618823712,0.09441870909470779,0.025964682921767235,0.10033129900693893,0.0498037226498127,0.23230193555355072
pr12000,brush_off_dust_001__A235,True,0.23376622796058655,0.06389970045823318,0.05241778722176185,0.07928745563213642,0.06877269500341171,0.029629910364747047,0.06412480771541595,0.04882952943444252,0.12421763688325882
pr12000,body_stretch_V004_001__A238_M,True,0.12639404833316803,0.0796515024625338,0.057220248075631946,0.09388567851139949,0.1123646711691832,0.02165348455309868,0.05391695722937584,0.041825875639915466,0.0906214714050293
pr12000,jump_ff_180_R_003__A238_M,True,0.30927833914756775,0.06534795577709492,0.04042555277164166,0.08200452877924992,0.053915555660541244,0.03005947917699814,0.07077324390411377,0.04225922003388405,0.11589455604553223
pr12000,sneeze_R_001__A235,True,0.25438597798347473,0.06847627346332257,0.05744422399080717,0.08999366026658279,0.06409099774482922,0.03096863254904747,0.1188352108001709,0.054701920598745346,0.1249471977353096
hy2000,jog_ff_start_180_R_003__A234_M,True,0.1428571492433548,0.08560545901034741,0.06517735440680321,0.1262385388638111,0.06741374266063069,0.026624901220202446,0.05026118829846382,0.06838226318359375,0.22922968864440918
hy2000,walk_ff_loop_315_R_001__A237_M,True,0.04037266969680786,0.21729845976709722,0.07647256036499638,0.31147250458223735,0.20649036810026697,0.19392231106758118,0.4334065318107605,0.3544943034648895,0.9433757662773132
hy2000,checking_time_R_001__A235,False,1.0,0.1417426826050563,0.06579082797032705,0.16403882992193566,0.1571994568250194,0.14092539250850677,0.2810685932636261,0.052078671753406525,0.12589824199676514
hy2000,itching_left_body_side_R_001__A238_M,False,1.0,0.19077796165389244,0.08603353211373994,0.18654358989060527,0.22719111587062027,0.14993639290332794,0.27829238772392273,0.106642946600914,0.29668328166007996
hy2000,brush_off_dust_001__A235,True,0.24025973677635193,0.07285867952832989,0.052280862346973295,0.0739196951872383,0.10458971576233576,0.04377933591604233,0.11389718949794769,0.07102839648723602,0.13884031772613525
hy2000,body_stretch_V004_001__A238_M,True,0.17843866348266602,0.10808728088685615,0.06907094064070352,0.12154033795074003,0.16011369408075535,0.05340607836842537,0.3144819140434265,0.04122382774949074,0.2151559591293335
hy2000,jump_ff_180_R_003__A238_M,True,0.3298968970775604,0.08144176006317139,0.04530044396718343,0.09459749857584636,0.07548205720053779,0.025037314742803574,0.06358149647712708,0.05145065858960152,0.16623187065124512
hy2000,sneeze_R_001__A235,True,0.2631579041481018,0.07200146565395119,0.058546209757306934,0.0772899020034655,0.08008194532366276,0.031411610543727875,0.12124327570199966,0.051017627120018005,0.09794484823942184
hy_drift_s050,jog_ff_start_180_R_003__A234_M,True,0.1587301641702652,0.08870627017731363,0.06808866845800522,0.1339371052194149,0.06691383470034769,0.023898867890238762,0.056454241275787354,0.029816076159477234,0.06803631782531738
hy_drift_s050,walk_ff_loop_315_R_001__A237_M,True,0.04037266969680786,0.5056519244783487,0.07311068108333416,0.5820988410681336,0.501788524327366,0.4939230680465698,1.4039642810821533,0.2799963057041168,0.7047397494316101
hy_drift_s050,checking_time_R_001__A235,False,1.0,0.18625522400281444,0.06333917416400792,0.2005575428838315,0.19483854558403696,0.16573448479175568,0.3504209518432617,0.040987756103277206,0.1190340518951416
